ProfitRatio,CustomerName,Discount%,OrderKey,CustomerSegment,City,Region,State,Country,ShipmentMode,OrderDate,ShipDate,ProductName,Manafacturer,ProductSubcategory,ProductCategory,Profit,Qty,Sale
47,Anne McFarland,0,CA-2016-100573,Consumer,Los Angeles,West,California,United States,Standard Class,2016-09-25,2016-10-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,8,2,17
47,Brooke Gillingham,0,CA-2016-108588,Corporate,New York City,East,New York,United States,Standard Class,2016-01-05,2016-01-10,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,8,2,17
34,Robert Barroso,20,CA-2016-153038,Corporate,Memphis,South,Tennessee,United States,Standard Class,2016-12-18,2016-12-25,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,19,8,56
47,Paul Stevenson,0,CA-2016-140830,Home Office,Henderson,South,Kentucky,United States,Second Class,2016-11-30,2016-12-02,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,8,2,17
47,Mike Pelletier,0,CA-2018-169859,Home Office,San Diego,West,California,United States,Standard Class,2018-12-14,2018-12-18,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Other,Envelopes,Office Supplies,21,5,44
36,Arthur Prichep,20,CA-2018-146136,Consumer,Palm Coast,South,Florida,United States,Standard Class,2018-09-03,2018-09-07,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,9,4,24
36,Brosina Hoffman,20,CA-2018-127306,Consumer,Johnson City,South,Tennessee,United States,Standard Class,2018-01-14,2018-01-18,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,7,3,18
49,Alan Shonely,0,CA-2015-128538,Consumer,Redondo Beach,West,California,United States,Standard Class,2015-10-11,2015-10-15,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,4,1,8
49,Zuschuss Carroll,0,CA-2018-100013,Consumer,Los Angeles,West,California,United States,Standard Class,2018-11-06,2018-11-11,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,7,2,15
49,Don Jones,0,CA-2018-137876,Corporate,San Francisco,West,California,United States,Standard Class,2018-04-30,2018-05-05,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,15,4,31
49,Tanja Norvell,0,CA-2015-140403,Home Office,Manteca,West,California,United States,Same Day,2015-10-10,2015-10-10,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,7,2,15
49,Laurel Beltran,0,US-2017-155768,Home Office,Oxnard,West,California,United States,Same Day,2017-12-01,2017-12-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,11,3,23
36,Lindsay Shagiari,20,CA-2018-164168,Home Office,Dallas,Central,Texas,United States,Standard Class,2018-11-12,2018-11-18,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Other,Envelopes,Office Supplies,4,2,12
31,Steve Nguyen,20,CA-2016-117415,Home Office,Houston,Central,Texas,United States,Standard Class,2016-12-27,2016-12-31,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Other,Envelopes,Office Supplies,35,9,113
45,Dionis Lloyd,0,CA-2018-151911,Corporate,New York City,East,New York,United States,Second Class,2018-04-30,2018-05-05,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Other,Envelopes,Office Supplies,28,4,63
35,Maria Bertelson,20,CA-2016-113131,Consumer,Columbus,East,Ohio,United States,Same Day,2016-09-24,2016-09-24,#6 3/4 Gummed Flap White Envelopes,Other,Envelopes,Office Supplies,6,2,16
35,Gary Zandusky,20,CA-2016-154795,Consumer,Bullhead City,West,Arizona,United States,Standard Class,2016-12-20,2016-12-24,#6 3/4 Gummed Flap White Envelopes,Other,Envelopes,Office Supplies,3,1,8
35,Sally Hughsby,20,CA-2018-127922,Corporate,Dallas,Central,Texas,United States,Standard Class,2018-10-27,2018-11-03,#6 3/4 Gummed Flap White Envelopes,Other,Envelopes,Office Supplies,6,2,16
35,Marina Lichtenstein,20,CA-2018-156363,Corporate,Philadelphia,East,Pennsylvania,United States,Standard Class,2018-10-22,2018-10-28,#6 3/4 Gummed Flap White Envelopes,Other,Envelopes,Office Supplies,11,4,32
27,Stewart Carmichael,0,CA-2017-127208,Corporate,Decatur,South,Alabama,United States,First Class,2017-06-12,2017-06-15,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Other,Appliances,Office Supplies,56,1,208
9,Jill Fjeld,20,CA-2018-167941,Consumer,Fayetteville,South,North Carolina,United States,Second Class,2018-11-06,2018-11-09,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Other,Appliances,Office Supplies,44,3,500
27,Greg Tran,0,US-2015-135881,Consumer,New York City,East,New York,United States,Standard Class,2015-05-23,2015-05-27,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Other,Appliances,Office Supplies,56,1,208
9,Jamie Frazer,20,CA-2015-116407,Consumer,Johnson City,South,Tennessee,United States,Standard Class,2015-11-15,2015-11-21,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Other,Appliances,Office Supplies,29,2,333
27,Elizabeth Moffitt,0,CA-2018-122035,Corporate,Sioux Falls,Central,South Dakota,United States,Standard Class,2018-07-20,2018-07-25,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Other,Appliances,Office Supplies,112,2,416
27,Jennifer Patt,0,CA-2017-158001,Corporate,New York City,East,New York,United States,Standard Class,2017-08-23,2017-08-27,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Other,Appliances,Office Supplies,281,5,"1,041"
47,Pierre Wener,0,CA-2016-144274,Consumer,Wilmington,East,Delaware,United States,Second Class,2016-11-23,2016-11-25,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Other,Paper,Office Supplies,21,6,44
34,Alan Dominguez,20,CA-2015-128062,Home Office,Philadelphia,East,Pennsylvania,United States,Second Class,2015-11-19,2015-11-22,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Other,Paper,Office Supplies,2,1,6
9,Caroline Jumper,20,CA-2017-122392,Consumer,Allentown,East,Pennsylvania,United States,Standard Class,2017-07-22,2017-07-27,12 Colored Short Pencils,Other,Art,Office Supplies,0,2,4
27,Thomas Brumley,0,CA-2018-162096,Home Office,Riverside,West,California,United States,Same Day,2018-11-10,2018-11-10,12 Colored Short Pencils,Other,Art,Office Supplies,2,3,8
9,Dianna Arnett,20,US-2015-157406,Home Office,Houston,Central,Texas,United States,Standard Class,2015-04-25,2015-04-29,12 Colored Short Pencils,Other,Art,Office Supplies,1,3,6
-60,Meg O'Connel,60,US-2018-106663,Home Office,Chicago,Central,Illinois,United States,Standard Class,2018-06-09,2018-06-13,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,-14,3,24
36,Melanie Seite,0,CA-2016-135272,Consumer,Los Angeles,West,California,United States,Standard Class,2016-12-07,2016-12-12,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,29,4,80
36,Philip Brown,0,CA-2018-142391,Consumer,Seattle,West,Washington,United States,Same Day,2018-09-24,2018-09-24,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,72,10,200
-60,Luke Foster,60,CA-2015-110030,Consumer,Houston,Central,Texas,United States,Second Class,2015-12-06,2015-12-08,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,-14,3,24
20,Neola Schneider,20,CA-2018-153045,Consumer,Philadelphia,East,Pennsylvania,United States,Second Class,2018-01-19,2018-01-24,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,6,2,32
-60,Michael Dominguez,60,US-2015-117744,Corporate,Corpus Christi,Central,Texas,United States,Standard Class,2015-12-02,2015-12-06,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,-24,5,40
20,Ken Dana,20,CA-2017-144792,Corporate,Scottsdale,West,Arizona,United States,Standard Class,2017-04-30,2017-05-04,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,22,7,112
36,Duane Huffman,0,CA-2016-145324,Home Office,Harrisonburg,South,Virginia,United States,Standard Class,2016-11-15,2016-11-19,12-1/2 Diameter Round Wall Clock,Other,Furnishings,Furniture,14,2,40
48,Joseph Holt,0,CA-2017-151372,Consumer,Redondo Beach,West,California,United States,First Class,2017-09-05,2017-09-06,14-7/8 x 11 Blue Bar Computer Printout Paper,Other,Paper,Office Supplies,46,2,96
35,Shahid Collister,20,CA-2018-126354,Consumer,Pembroke Pines,South,Florida,United States,Standard Class,2018-02-03,2018-02-08,14-7/8 x 11 Blue Bar Computer Printout Paper,Other,Paper,Office Supplies,40,3,115
35,Todd Boyes,20,CA-2018-136609,Corporate,Cedar Hill,Central,Texas,United States,Standard Class,2018-08-06,2018-08-11,14-7/8 x 11 Blue Bar Computer Printout Paper,Other,Paper,Office Supplies,40,3,115
48,Mick Hernandez,0,CA-2018-114055,Home Office,Huntsville,South,Alabama,United States,Second Class,2018-12-25,2018-12-29,14-7/8 x 11 Blue Bar Computer Printout Paper,Other,Paper,Office Supplies,46,2,96
19,Saphhira Shifley,0,CA-2018-165603,Corporate,Warwick,East,Rhode Island,United States,Second Class,2018-10-17,2018-10-19,2300 Heavy-Duty Transfer File Systems by Perma,Other,Storage,Office Supplies,9,2,50
19,Clay Ludtke,0,CA-2016-135580,Consumer,Los Angeles,West,California,United States,Standard Class,2016-12-30,2017-01-03,2300 Heavy-Duty Transfer File Systems by Perma,Other,Storage,Office Supplies,14,3,75
-1,Laura Armstrong,20,CA-2015-107811,Corporate,Memphis,South,Tennessee,United States,Standard Class,2015-04-29,2015-05-03,2300 Heavy-Duty Transfer File Systems by Perma,Other,Storage,Office Supplies,-1,5,100
-1,Rick Wilson,20,CA-2016-124800,Corporate,Mesa,West,Arizona,United States,Standard Class,2016-09-26,2016-09-30,2300 Heavy-Duty Transfer File Systems by Perma,Other,Storage,Office Supplies,-1,6,120
25,Eva Jacobs,0,CA-2018-147410,Consumer,Santa Ana,West,California,United States,Standard Class,2018-09-04,2018-09-08,"24 Capacity Maxi Data Binder Racks, Pearl",Other,Storage,Office Supplies,105,2,421
25,Randy Ferguson,0,CA-2017-163167,Corporate,Marietta,South,Georgia,United States,Second Class,2017-11-28,2017-12-01,"24 Capacity Maxi Data Binder Racks, Pearl",Other,Storage,Office Supplies,316,6,"1,263"
6,Neil Ducich,20,CA-2018-107167,Corporate,Jacksonville,South,Florida,United States,Standard Class,2018-06-10,2018-06-14,"24 Capacity Maxi Data Binder Racks, Pearl",Other,Storage,Office Supplies,84,8,"1,348"
6,Lindsay Shagiari,20,CA-2015-137092,Home Office,Chicago,Central,Illinois,United States,Second Class,2015-10-20,2015-10-22,"24 Capacity Maxi Data Binder Racks, Pearl",Other,Storage,Office Supplies,32,3,505
29,Patrick Gardner,20,CA-2017-144344,Consumer,Boynton Beach,South,Florida,United States,Same Day,2017-10-28,2017-10-28,24-Hour Round Wall Clock,Other,Furnishings,Furniture,14,3,48
43,Jason Fortune-,0,US-2018-110604,Consumer,Seattle,West,Washington,United States,Standard Class,2018-05-15,2018-05-20,24-Hour Round Wall Clock,Other,Furnishings,Furniture,17,2,40
29,Frank Atkinson,20,CA-2016-140718,Corporate,Raleigh,South,North Carolina,United States,First Class,2016-07-02,2016-07-04,24-Hour Round Wall Clock,Other,Furnishings,Furniture,46,10,160
43,Randy Ferguson,0,US-2015-114188,Corporate,Dover,East,New Hampshire,United States,Second Class,2015-05-20,2015-05-22,24-Hour Round Wall Clock,Other,Furnishings,Furniture,60,7,140
43,Ken Black,0,CA-2017-116547,Corporate,Seattle,West,Washington,United States,Standard Class,2017-01-10,2017-01-17,24-Hour Round Wall Clock,Other,Furnishings,Furniture,34,4,80
43,Paul Stevenson,0,CA-2018-163818,Home Office,Clinton,East,Maryland,United States,Standard Class,2018-10-04,2018-10-08,24-Hour Round Wall Clock,Other,Furnishings,Furniture,9,1,20
48,Chris Selesnick,0,CA-2015-162775,Corporate,Bossier City,South,Louisiana,United States,Second Class,2015-01-13,2015-01-15,3-ring staple pack,3-ring staple pack,Binders,Office Supplies,3,3,6
48,Clytie Kelty,0,CA-2016-120516,Consumer,Marietta,South,Georgia,United States,Standard Class,2016-08-13,2016-08-17,3-ring staple pack,3-ring staple pack,Binders,Office Supplies,3,3,6
35,Alice McCarthy,20,CA-2018-109701,Corporate,Los Angeles,West,California,United States,Same Day,2018-12-02,2018-12-03,3-ring staple pack,3-ring staple pack,Binders,Office Supplies,3,6,9
48,Muhammed MacIntyre,0,CA-2016-119592,Corporate,Columbus,South,Georgia,United States,Second Class,2016-12-14,2016-12-16,3-ring staple pack,3-ring staple pack,Binders,Office Supplies,2,2,4
35,Eleni McCrary,20,CA-2016-142041,Corporate,Los Angeles,West,California,United States,Second Class,2016-06-07,2016-06-09,3-ring staple pack,3-ring staple pack,Binders,Office Supplies,3,5,8
35,Clay Rozendal,20,CA-2017-101742,Home Office,New York City,East,New York,United States,Second Class,2017-09-23,2017-09-28,3-ring staple pack,3-ring staple pack,Binders,Office Supplies,4,7,11
-260,Joy Smith,80,US-2018-147221,Consumer,Houston,Central,Texas,United States,Second Class,2018-12-02,2018-12-04,3.6 Cubic Foot Counter Height Office Refrigerator,Other,Appliances,Office Supplies,-766,5,295
-260,Carol Triggs,80,US-2017-141264,Consumer,Irving,Central,Texas,United States,Standard Class,2017-08-13,2017-08-19,3.6 Cubic Foot Counter Height Office Refrigerator,Other,Appliances,Office Supplies,-153,1,59
-260,Sam Craven,80,CA-2015-130421,Consumer,Houston,Central,Texas,United States,Standard Class,2015-03-03,2015-03-07,3.6 Cubic Foot Counter Height Office Refrigerator,Other,Appliances,Office Supplies,-460,3,177
28,Jeremy Lonsdale,0,CA-2018-156776,Consumer,Westminster,West,California,United States,Standard Class,2018-08-07,2018-08-11,3.6 Cubic Foot Counter Height Office Refrigerator,Other,Appliances,Office Supplies,412,5,"1,473"
10,Dorothy Badders,20,CA-2018-115882,Corporate,Raleigh,South,North Carolina,United States,First Class,2018-09-14,2018-09-17,3.6 Cubic Foot Counter Height Office Refrigerator,Other,Appliances,Office Supplies,94,4,943
-133,Brian Stugart,60,CA-2017-101791,Consumer,Chicago,Central,Illinois,United States,Standard Class,2017-05-27,2017-05-31,36X48 HARDFLOOR CHAIRMAT,Other,Furnishings,Furniture,-33,3,25
-16,Alan Haines,20,CA-2016-125185,Corporate,Bethlehem,East,Pennsylvania,United States,Second Class,2016-03-05,2016-03-07,36X48 HARDFLOOR CHAIRMAT,Other,Furnishings,Furniture,-5,2,34
7,Harold Engle,0,CA-2018-140480,Corporate,Newark,East,Delaware,United States,Standard Class,2018-07-08,2018-07-12,36X48 HARDFLOOR CHAIRMAT,Other,Furnishings,Furniture,6,4,84
7,Jason Gross,0,CA-2017-129728,Corporate,Los Angeles,West,California,United States,Standard Class,2017-05-30,2017-06-06,36X48 HARDFLOOR CHAIRMAT,Other,Furnishings,Furniture,12,8,168
-133,Emily Ducich,60,CA-2018-133102,Home Office,Houston,Central,Texas,United States,Standard Class,2018-08-17,2018-08-24,36X48 HARDFLOOR CHAIRMAT,Other,Furnishings,Furniture,-22,2,17
7,Nick Zandusky,0,US-2018-148054,Home Office,Meridian,West,Idaho,United States,Standard Class,2018-10-06,2018-10-11,36X48 HARDFLOOR CHAIRMAT,Other,Furnishings,Furniture,3,2,42
26,Todd Sumrall,0,CA-2018-143112,Corporate,New York City,East,New York,United States,Standard Class,2018-10-05,2018-10-09,"3D Systems Cube Printer, 2nd Generation, Magenta",3D Systems,Machines,Technology,"1,352",4,"5,200"
26,Bill Shonely,0,US-2017-107440,Corporate,Lakewood,East,New Jersey,United States,Standard Class,2017-04-16,2017-04-20,"3D Systems Cube Printer, 2nd Generation, Magenta",3D Systems,Machines,Technology,"2,366",7,"9,100"
-44,Daniel Lacy,50,US-2015-115196,Consumer,Greenville,South,North Carolina,United States,Standard Class,2015-09-09,2015-09-13,"3D Systems Cube Printer, 2nd Generation, White",3D Systems,Machines,Technology,-572,2,"1,300"
10,Chloris Kastensmidt,20,CA-2018-110443,Consumer,Renton,West,Washington,United States,Standard Class,2018-11-21,2018-11-25,"3D Systems Cube Printer, 2nd Generation, White",3D Systems,Machines,Technology,104,1,"1,040"
26,Dean Katz,20,CA-2016-122756,Corporate,Philadelphia,East,Pennsylvania,United States,Standard Class,2016-12-03,2016-12-07,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,1,1,3
41,Anthony Rawles,0,CA-2017-160745,Corporate,Vancouver,West,Washington,United States,Second Class,2017-12-11,2017-12-16,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,6,4,15
41,Sample Company A,0,CA-2016-133627,Home Office,Norwich,East,Connecticut,United States,Standard Class,2016-05-31,2016-06-07,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,9,6,22
41,Liz Thompson,0,US-2015-165659,Consumer,Little Rock,South,Arkansas,United States,Standard Class,2015-06-01,2015-06-06,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,9,6,22
26,Sue Ann Reed,20,CA-2017-167507,Consumer,Redmond,West,Oregon,United States,Standard Class,2017-12-22,2017-12-28,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,3,4,12
-48,Lori Olson,60,CA-2018-163860,Corporate,Peoria,Central,Illinois,United States,Standard Class,2018-12-28,2019-01-01,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,-1,2,3
26,Saphhira Shifley,20,CA-2018-108322,Corporate,Pompano Beach,South,Florida,United States,Standard Class,2018-04-30,2018-05-05,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,6,8,24
41,Harry Marie,0,CA-2018-129805,Corporate,Seattle,West,Washington,United States,Standard Class,2018-12-28,2019-01-02,3M Hangers With Command Adhesive,3M,Furnishings,Furniture,3,2,7
35,Joseph Holt,0,CA-2016-109638,Consumer,Seattle,West,Washington,United States,Standard Class,2016-12-15,2016-12-22,3M Office Air Cleaner,3M,Appliances,Office Supplies,36,4,104
35,Luke Schmidt,0,US-2018-165869,Corporate,Milwaukee,Central,Wisconsin,United States,Standard Class,2018-07-31,2018-08-05,3M Office Air Cleaner,3M,Appliances,Office Supplies,55,6,156
-73,Joy Daniels,70,CA-2018-152198,Consumer,Toledo,East,Ohio,United States,First Class,2018-09-09,2018-09-10,3M Organizer Strips,3M,Binders,Office Supplies,-4,3,5
-73,Clytie Kelty,70,CA-2016-142237,Consumer,Philadelphia,East,Pennsylvania,United States,First Class,2016-07-11,2016-07-13,3M Organizer Strips,3M,Binders,Office Supplies,-5,4,6
48,Robert Waldorf,0,CA-2018-110905,Consumer,Springfield,Central,Missouri,United States,Second Class,2018-09-10,2018-09-15,3M Organizer Strips,3M,Binders,Office Supplies,8,3,16
35,Frank Olsen,20,CA-2018-106943,Consumer,New York City,East,New York,United States,Standard Class,2018-11-14,2018-11-19,3M Organizer Strips,3M,Binders,Office Supplies,3,2,9
35,Shahid Hopkins,20,CA-2018-110884,Consumer,New York City,East,New York,United States,Standard Class,2018-03-07,2018-03-12,3M Organizer Strips,3M,Binders,Office Supplies,9,6,26
35,Katharine Harms,20,CA-2015-140396,Corporate,New York City,East,New York,United States,Standard Class,2015-11-20,2015-11-25,3M Organizer Strips,3M,Binders,Office Supplies,5,3,13
-73,Charles Sheldon,70,CA-2018-161592,Corporate,Chattanooga,South,Tennessee,United States,Standard Class,2018-04-06,2018-04-10,3M Organizer Strips,3M,Binders,Office Supplies,-6,5,8
46,Neoma Murray,0,CA-2017-153598,Consumer,Los Angeles,West,California,United States,First Class,2017-12-03,2017-12-06,3M Polarizing Light Filter Sleeves,3M,Furnishings,Furniture,51,6,112
33,Raymond Buch,20,CA-2017-156573,Consumer,Nashville,South,Tennessee,United States,Standard Class,2017-05-29,2017-06-02,3M Polarizing Light Filter Sleeves,3M,Furnishings,Furniture,15,3,45
46,Kalyca Meade,0,CA-2017-119935,Corporate,Springfield,Central,Missouri,United States,Standard Class,2017-11-10,2017-11-14,3M Polarizing Light Filter Sleeves,3M,Furnishings,Furniture,17,2,37
-35,Ed Braxton,60,CA-2016-128125,Corporate,Houston,Central,Texas,United States,Standard Class,2016-03-31,2016-04-05,3M Polarizing Light Filter Sleeves,3M,Furnishings,Furniture,-8,3,22
26,Liz Willingham,0,CA-2017-157280,Consumer,Virginia Beach,South,Virginia,United States,First Class,2017-11-05,2017-11-07,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",3M,Furnishings,Furniture,71,2,274
26,Tom Boeckenhauer,0,CA-2015-131002,Consumer,Tulsa,Central,Oklahoma,United States,Second Class,2015-09-07,2015-09-12,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",3M,Furnishings,Furniture,214,6,822
26,Adrian Barton,0,CA-2018-101042,Consumer,Henderson,South,Kentucky,United States,Standard Class,2018-11-19,2018-11-23,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",3M,Furnishings,Furniture,214,6,822
26,Nicole Hansen,0,US-2018-136721,Corporate,Oak Park,Central,Michigan,United States,Standard Class,2018-04-08,2018-04-12,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",3M,Furnishings,Furniture,71,2,274
-205,Julia West,80,CA-2016-106208,Consumer,Chicago,Central,Illinois,United States,Standard Class,2016-12-10,2016-12-15,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,3M,Appliances,Office Supplies,-109,7,53
39,Brian Thompson,0,CA-2017-123358,Consumer,San Francisco,West,California,United States,Standard Class,2017-04-10,2017-04-17,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,3M,Appliances,Office Supplies,44,3,114
39,Bill Tyler,0,US-2016-120502,Corporate,Los Angeles,West,California,United States,Standard Class,2016-04-13,2016-04-19,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,3M,Appliances,Office Supplies,30,2,76
24,Rick Wilson,20,CA-2016-124800,Corporate,Mesa,West,Arizona,United States,Standard Class,2016-09-26,2016-09-30,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,3M,Appliances,Office Supplies,14,2,61
34,Claudia Bergmann,0,US-2017-165505,Corporate,Burlington,East,Vermont,United States,Standard Class,2017-01-23,2017-01-27,4009 Highlighters,Other,Art,Office Supplies,3,6,8
